Date,Event Date,Event type,Event Text,
"""Sep3""","""Aug 30""",Misc.,Pictures,
"""Sep3""","""Aug 30""",Lesson,Reviewing Data Sharing and Cloud Service,
"""Sep3""","""Sep 1""",Lesson,Git Review,
"""Sep3""","""Sep 3""",No School,No school until Sep 7th,
"""Sep10""","""Sep 7""",Review,Weekly Review,
"""Sep10"" ","""Sep 7""",Video,Imposter Syndrome,
"""Sep10"" ","""Sep 7""",Lesson,Importance of Documentation,
"""Sep10"" ","""Sep 9""",Lesson,Accessing Docpac Git Repo ,
"""Sep10"" ","""Sep 10"" ",Due,DocPac Sep3 and Sep10 due to grade,
"""Sep17""","""Sep 13"" ",Review,Weekly Review,
"""Sep17""","""Sep 14""",Lesson,Updating Docpac,
"""Sep17""","""Sep 15""",Review,Docpac Review,
"""Sep17""","""Sep 15""",Lesson,Building a Schedule,
"""Sep17""","""Sep 15""",Lesson,Building an ExpressJS application,
"""Sep17""","""Sep 17""",Lesson,Passing Query Params in ExpressJS,
"""Sep17""","""Sep 17""",Due,All Docpacs due,
"""Sep24""","""Sep 20""",Review,Weekly Review,
"""Sep24""","""Sep 21""",Lesson,Using Git Repo Branches,
"""Sep24""","""Sep 23""",Lesson,ExpressJS and EJS templating,
"""Sep24""","""Sep 24""",Due,Docpacs Due,
"""Sep24""","""oct 4""",Rotation,IT fundamentals rotation begins,
"""Sep24""","""Oct 11""",No School,No school,
"""Oct 1","""Sep 27""",Review,Weekly Review,
"""Oct 1","""Sep 27""",Lesson,Notebook development,
"""Oct 1","""Sep 29""",Lesson,Project Management with KanBan,
"""Oct 1","""Sep 27""",Assessment,ExpressJS HTTP server,
"""Oct 8""","""oct 4""",review,Weekly Review,
"""oct 8""","""oct 5""",Lesson,Working with JSON Files,
"""Oct 8""","""Oct 7""",Lesson,Reading Query Paramiters,
"""Oct 15""","""Oct 12""",Review,Weekly Review,
"""Oct 15""","""Oct 12""",Lesson,HTTP Post Requests,
"""Oct 15""","""Oct 14""",Discussion,Meritocracy and Teams,
"""Oct 15""","""Oct 15""",Review,End-of-Week Code Review,
"""Oct 22""","""Oct 18""",Review,Weekly Review,
"""Oct 22""","""Oct 18""",Presentation,  Available Team Projects,
"""Oct 22""","""Oct 20""",Test,Pre-Nocti Test,
