Date,Type,Assignment Name
"""Aug27""",pg. 2,Signed Syllabus
"""Aug27""",Printed,Javascript Initial Assessment 
"""Sep3""",pg. 2,Build A Webserver Using nodejs
"""Sep3""",printed,Github practice assignment
"""Sep10""",printed,Notebook 1: Initialize Nodejs Project
"""Sep10""",printed,Notebook 2: Nodejs HTTP Server
"""Sep10""",printed,Portfolio 1: Nodejs HTTP Server
"""Sep17""",printed,Express Middleware
"""Sep17""",pg. 2,ExpressJS Team Website
"""Sep17""",printed,Updated Version of this DocPac
"""Sep24""",Seen by teacher,Upgrade Team Website with EJS
"""Sep24""",printed,Notebook 4: ReactJS
"""Sep24""",code academy,"Codecademy “Learn Javascript” course, “Introduction” Chapter"
"""Oct1""",printed,Notebook 1: Initializing NodeJS Project
"""Oct1""",printed,“Notebook 2: NodeJS HTTP Server
"""Oct1""",printed,Notebook 3: Using ExpressJS with NodeJS
"""Oct1""",printed,Notebook 4: Using EJS with ExpressJS
"""Oct1""",seen by teacher,Team trello board
"""Oct1""",code academy,"Codecademy “Learn Javascript” course, “Conditionals” Chapter"
"""Oct8""",Printed,Team Documentation: Notebook Entry Format
"""Oct8""",printed,Analysis: Team Composition
"""Oct8""",seen by teacher,Team Website Upgrade: Load Team Profiles from JSON
"""Oct8""",seen by teacher,Team Website Upgrade: Save Query Params to JSON
"""Oct8""",code academy,"Codecademy “Learn Javascript” course, “Functions” Chapter"
"""Oct15""",printed,Notebook 5: HTML Submit Form Data
"""Oct15""",printed,Notebook 6: ExpressJS POST Requests
"""Oct15""",seen by teacher,Team Website Upgrade: Record Comments with HTML Form
"""Oct15""",code academy,Codecademy: Everything assigned in previous DocPacs
"""Oct29""",printed,Notebooks 1 - 6
"""Oct29""",printed,DocPacs Aug17 – Oct29
"""Oct29""",code academy,"Codecademy: Learn Javascript, all chapters up to Scopes"
"""Nov5""",printed,Personal Improvement Plan
"""Nov5""",code academy,"Codecademy: Learn Javascript, Arrays. Lesson, Project, and Quiz"
"""Nov12""",printed,Exam Preparation Plan
"""Nov12""",code academy,"Codecademy: Learn Javascript, Loops. Lesson, Project, and Quiz"
"""Nov19""",pg. 2,Exam Preparation Progress Report
"""Nov19""",code academy,"Codecademy: Learn Javascript, Iterators. Lesson, Lesson, Project, and Quiz"
"""Dec3""",printed,JS Bootcamp Key Take-Aways
"""Dec3""",download, All four days of JS Bootcamp 2122 accepted as pull requests into csmith1188/jsbootcamp2122 on GitHub.com
"""Dec3""",code academy," Codecademy: Learn Javascript, Objects. Lesson, Lesson, Project, Project, and Quiz"
"""Dec10""",pg. 3,Reflection
"""Dec10""",pg. 2,Exam Preparation Progress Report
"""Dec10""",pg. 2,Team Project Goal
"""Dec10""",printed,JS Challenge Pt. 1
"""Dec10""",seen by teacher,Show instructor your Team Project’s goal being met
"""Dec10""",download,Get your JS Bootcamp fork accepted as a Pull Request to the upstream
"""Dec10""",code academy,Codecademy: All Codecademy complete (DocPac rejected if not complete!)
"""Dec17""",pg. 3,Reflection
"""Dec17""",pg. 2,Exam Preparation Progress Report
"""Dec17""",pg. 2,Team Project Goal
"""Dec17""",printed,JS Challenge Pt. 2
"""Dec17""",printed,JS Bootcamp (Dec15) Canvas + Iterators
"""Dec22""",pg. 3,Reflection
"""Dec22""",pg. 2,Exam Preparation Progress Report
"""Dec22""",pg. 2,Team Project Goal
"""Dec22""",printed,JS Bootcamp Flow Chart
"""Dec22""",printed,Winter Break Schedule
"""Jan7""",pg. 3,Reflection
"""Jan7""",pg. 2,Exam Preparation Progress Report
"""Jan7""",pg. 2,Team Project Goal
"""Jan7""",printed,Lesson Key Takeaways x 3
"""Jan7""",printed,JS Challenges Pt. 3
"""Jan14""",pg. 2,Exam Preparation Progress Report
"""Jan14""",pg. 3,Reflection
"""Jan14""",printed,Design a Routine
"""Jan14""",printed,Lesson Key Takeaways x 3
"""Jan14""",printed,JS Challenges Pt. 4
"""Jan14""",printed,JS Challenges Pt. 5
"""Jan14""",seen by teacher,Team Project Presentation
"""Jan21""",pg. 3,Reflection
"""Jan28""",printed,Lesson Key Take-aways
"""Jan28""",printed,Reward System Brainstorm
"""Jan28""",pg. 3,Reflection
"""Feb4""",printed,Single: Nocti Flowchart Preparation
"""Feb4""",download,Teams: DocPac Digitalization
"""Feb4""",printed,Pairs: Javascript Challenge #7
"""Feb4""",printed,Pairs: Javascript Challenge #8
"""Feb4""",pg. 3,Reflection
